Company,Brief Description,Protein category,B2B/B2C,Company focus,Company type,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,HQ Country,HQ State (U.S. only),HQ City,Website,Year founded,Founders
70/30 Food Tec,Whole-cut chicken with mycelium base,Biomass fermentation,B2C,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Other meat/seafood,Whole muscle meat/seafood",Chicken,Mushrooms,Asia Pacific,Mainland China,,Shanghai,https://7030foodtech.com/,2022,"Eve Samyuktha, Vera Li"
108Labs,US-based company creating cultivated human milk,Cultivated,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Other dairy,Cheese",,,United States and Canada,United States,North Carolina,Hillsborough,https://108labs.net/,2013,Shayne Giuliano 
A tal da Castanha,Clean label and organic plant based milks. #1 brand in Brazil. ,Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Milk,Other dairy",,,Latin America,Brazil,,Fortaleza,https://www.ataldacastanha.com.br/,2015,"Felipe Carvalho, Rodrigo Carvalho"
A.H.A International Co.,"China-based foreign manufacturer focusing on international and domestic trade, pharmaceutical manufacturing, industrial investment, and logistics services. ",Plant-based,B2B,Ingredients and inputs,Diversified,Ingredient optimization,Ingredients,,,Asia Pacific,Mainland China,,Hefei,https://www.ahabiochem.com/,2001,Qing Liang
A&B Ingredients,"A&B Ingredients provides the food and beverage marketplace with a wide variety of unique, clean label ingredients.  Each of these ingredients fulfills the needs of manufacturers for health, nutrition, food safety and quality. ",Plant-based,B2B,Ingredients and inputs,Diversified,Ingredient optimization,,,"Pea,Rice",United States and Canada,United States,New Jersey ,Fairfield,https://abingredients.com/about-us-ab-ingredients/,1990,
AAK,Makers of plant-based oil ingredients for meat and cheese alternatives and other products.,Plant-based,B2B,Ingredients and inputs,Specialized (focused on alternative proteins),Ingredient optimization,Oils and fats,,"Canola,Coconut,Palm,Sunflower,Flaxseed,Soy","Europe,Latin America,Africa/Middle East,Asia Pacific,Australia/New Zealand",Sweden,,Malmö,https://www.aak.com/akoplanet,2005,
Aardaia,EU based company domesticating a new protein crop for fresh market and the ingredient market. ,Plant-based,B2B,Ingredients and inputs,Diversified,"Crop development,Ingredient optimization",Ingredients,,Potato,Europe,Netherlands,,Wageningen,www.aardaia.com,2023,Pádraic Flood
Abbot's,"Plant-based burgers, meat balls, and ground beef",Plant-based,B2C,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,"Chicken,Beef/veal,Pork","Pea,Wheat",United States and Canada,United States,California,Costa Mesa,https://abbots.com/,2018,Kerry Song
AbbVie,Undertakes strategic manufacturing partnerships for mammalian cell-derived antibodies and some contract fermentation and purification.,"Cultivated,Fermentation-derived",B2B,Contract manufacturing/processing,Diversified,Bioprocess design,,,,United States and Canada,United States,,,www.abbviecontractmfg.com,2013,
Aber Instruments,"UK-based biotech manufacturer of on-line proves for measuring or counting live cell concentration in fermenters, cell culture bioreactors, and brewing applications.","Cultivated,Precision fermentation,Fermentation-derived,Biomass fermentation",B2B,Bioprocessing infrastructure and equipment,Diversified,Bioprocess design,Other,,,"Europe,United States and Canada",United Kingdom,,Aberystwyth,http://www.aberinstruments.com/,1988,
ABERYNE,Produces a 100% plant-based alternative to foie gras.,Plant-based,"B2B,B2C",Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Other meat/seafood,Whole muscle meat/seafood",Duck,"Cashew,Coconut",Europe,France,,Biarritz,www.aberyne.com,2023,Mikel Abeberry
Above Food,"Canada-based brand that produces plant-based seafood products, including scallops, crab cakes, and fish sticks ",Plant-based,B2C,Seafood,Specialized (focused on alternative proteins),End product formulation and manufacturing,,,"Oat,Chickpea,Fava bean,Lentils,Pea",United States and Canada,Canada,,,https://abovefood.com/,2020,
acayù,"Plant-based cheese company crafting a range of organic, healthy, sustainable cheeses. ","Plant-based,Fermentation-derived",B2B,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Cheese,,Cashew,Europe,Portugal,,Aljezur,https://acayu-foods.com/,2020,Raz Swissa and Moti Nagar
Accellta,Accellta produces cultivated milk fat and crustacean meat as a novel food ingredient.,Cultivated,B2B,"Dairy,Ingredients and inputs",Diversified,"Cell culture media,Bioprocess design,Cell line development","Cheese,Other dairy,Ingredients,Oils and fats",Other,,Africa/Middle East,Israel,,Haifa,www.accellta.com/,2012,Dr. Michal Amit
ACCRO,"ACCRO sells a range of 100% plant-based alternatives, made in France, made from pea and wheat protein, easy to use in all your recipes.",Plant-based,"B2C,B2B",Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Ground meat/seafood,Whole muscle meat/seafood","Beef/veal,Chicken,Pork","Pea,Wheat",Europe,France,,Vitry-en-Artois,https://accro.fr/,2021,
AcerChem International Inc.,"Acerchem provides solutions for human nutrition, beauty, food, pharmaceuticals and animal nutrition. Established in 2007, Acerchem has grown to become a global business, providing a wide range of functional products across 60 countries, with subsidiaries in 6 countries.",Plant-based,B2B,Ingredients and inputs,Diversified,Ingredient optimization,,,"Rice,Chickpea,Sunflower,Fava bean,Lentils,Mung bean",Asia Pacific,Singapore,,Singapore and Shanghai,http://www.acerchem.com/#AboutPage,2007,
"Acetar Bio-Tech, Inc. ",Chinese producer of plant extracts. 	,Plant-based,B2B,Ingredients and inputs,Diversified,Ingredient optimization,Ingredients,,"Soy,Pumpkin",Asia Pacific,Mainland China,,Xi'an,https://en.acetar.com/Home.html,2004,
Acme Food Sales,"Services include sourcing, importing and distributing products, domestic and international import document processing, package development and marketing",Plant-based,B2B,Contract manufacturing/processing,Diversified,End product formulation and manufacturing,,,,United States and Canada,United States,Washington,Seattle,http://acmefood.com,2015,Stacy Cox
Açougue Vegano,Plant-based butcher shop in Brazil offering frozen plant-based meat products in addition to counter service. ,Plant-based,B2C,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,"Beef/veal,Pork,Other fish,Other","Chickpea,Soy,Wheat,Jackfruit",Latin America,Brazil,,Rio de Janeiro,https://acouguevegano.com.br/,2016,"Michelle Rodriguez, Celso Fortes"
Actual Veggies,New York based company focused on creating whole food plant-based burgers,Plant-based,B2C,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other meat/seafood,,"Oat,Quinoa",United States and Canada,United States,New York ,New York City,https://actualveggies.com/,2020,"Hailey Swartz, Alex Swartz, Jason Rosenbaum"
"Adamjee Lukmanjee & Sons, (Pvt) Ltd.","Sri Lankan producer of coconut-based products, including coconut milk and cream.",Plant-based,"B2C,B2B","Dairy,Ingredients and inputs",Diversified,"Ingredient optimization,End product formulation and manufacturing",Milk,,Coconut,Asia Pacific,Sri Lanka,,Colombo,https://www.adamjeelukmanjee.com/,1953,
Adamo Foods,UK-based company working on fungi-based steak.,Biomass fermentation,B2C,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Whole muscle meat/seafood,Beef/veal,Mycelium,Europe,United Kingdom,,London,https://www.adamofoods.com/,2022,Pierre Dupuis
Adaptyv Bio,,Cultivated,B2B,Bioprocessing infrastructure and equipment,Diversified,Bioprocess design,,,,Europe,Switzerland,,,https://www.adaptyvbio.com,2020,
Ademi Foods,US-based company that produces plant-based shrimp.,Plant-based,B2C,Seafood,Specialized (focused on alternative proteins),End product formulation and manufacturing,,Other shellfish,,United States and Canada,United States,Colorado,Westminster,https://www.eatademifoods.com/,2022,"Aizhan Imangaliyeva, Aidar Kussainov"
AdeS,The leading soy-based beverage brand in Latin America ,Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Milk,,"Soy,Coconut,Almond",Latin America,Argentina,,,https://www.coca-cola.com/mx/es/brands/ades,1988,
ADM (Archer Daniels Midland),Large global ingredients company. Sells various plant proteins. ,Plant-based,B2B,Ingredients and inputs,Diversified,"Ingredient optimization,Crop development",,,"Soy,Pea,Wheat",United States and Canada,United States,Illinois ,Chicago,https://www.adm.com/,1902,
Adolf Kühner AG,"Adolf Kühner AG is a science-first shaker manufacturer renowned worldwide for its uncompromising shakers, incubator shakers, and orbital shaken bioreactors. From bench top shakers to large scale industrial shaking machines, we offer machines of the highest quality.",Cultivated,B2B,Bioprocessing infrastructure and equipment,Diversified,Bioprocess design,,,,"Europe,Latin America,Australia/New Zealand,Asia Pacific,Africa/Middle East,United States and Canada",Switzerland,,Basel,https://kuhner.com/en/,1949,Adolf Kühner
Advanced Instruments Ltd,"US-based global leader in the supply of osmometers, cell imaging and single cell seeding instruments.","Cultivated,Fermentation-derived,Biomass fermentation,Precision fermentation",B2B,Bioprocessing infrastructure and equipment,Diversified,Bioprocess design,Other,,,United States and Canada,United States,Massachusetts,Norwood,www.aicompanies.com,1955,
Afineur ,"Startup using fermentation to improve plant based food, starting with coffee and chocolate. Also developed a cultured plant based protein (part of a larger business)",Traditional fermentation,B2B,Ingredients and inputs,Diversified,Host strain development,Other,,,United States and Canada,United States,New York ,Brooklyn,https://www.afineur.com/,2014,"Camille Delebecque, Sophie Deterre"
AGC Biologics,"AGC Biologics is a global CDMO providing development and manufacturing services for protein-based biologics and advanced therapies.
",Fermentation-derived,B2B,Contract manufacturing/processing,Diversified,,,,,United States and Canada,United States,,,https://www.agcbio.com/,2018,
Agile BioFoundry,,"Fermentation-derived,Cultivated",B2B,Contract manufacturing/processing,Diversified,End product formulation and manufacturing,,,,United States and Canada,United States,,,https://agilebiofoundry.org/,2016,
Agricultural Utilization Research Institute,,Plant-based,B2B,Contract manufacturing/processing,Diversified,,,,,United States and Canada,United States,,,https://auri.org/,1989,
AgriFoodTrade,"Netherlands based pulses specialist, keeping NL stocks of whole range dried beans, lentils, peas and chickpeas both organic and conventional.",Plant-based,B2B,Ingredients and inputs,Diversified,,Ingredients,,"Fava bean,Kidney bean,White bean,Lentils,Peanut,Walnut,Hazelnut,Coconut,Rice,Quinoa",Europe,Netherlands,,Overberg,https://agrifoodtrade.com/,2006,W. B. van Os
AGT Foods,Global pulsed ingredients distributor ,Plant-based,B2B,Ingredients and inputs,Diversified,Ingredient optimization,,,"Lentils,Pea,Chickpea",United States and Canada,Canada,,Regina,http://www.agtfoods.com,2007,
Agulos Biotech,U.S.-based startup developing Simulated Platelet Lysate (porcine) as a replacement for fetal bovine serum.,Cultivated,B2B,Bioprocessing infrastructure and equipment,Diversified,"Cell culture media,Cell line development",,Beef/veal,,United States and Canada,United States,Wisconsin,Lake Mills,http://agulosbiotech.com/,2017,Jonathan Irwin
AH Terra,"Albert Heijn's plant-based private label brand that includes plant-based milk, cheese slices, margarine, seafood, vegetable spreads, snacks, and appetizers.",Plant-based,B2C,"Meat,Dairy,Seafood",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Whole muscle meat/seafood,Ground meat/seafood,Other meat/seafood,Milk,Cheese,Other dairy","Beef/veal,Chicken,Pork,Other fish","Soy,Pea,Wheat,Coconut,Almond,Rice,Oat",Europe,Netherlands,,,https://www.ah.nl/producten/merk/ah-terra,1887,
Ahimsa,Spanish company that produces a variety of plant-based meats and prepared meals along with tofu and seitan.,Plant-based,B2C,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Other,Ground meat/seafood",Pork,"Soy,Wheat",Europe,Spain,,Zaragoza,https://www.ecologicosahimsa.com/en/,1989,
ÄIO,"Estonian start-up producing alternatives to animal fats, palm oil and coconut oil using microbial lipid production.",Precision fermentation,B2B,Ingredients and inputs,Specialized (focused on alternative proteins),"Ingredient optimization,Bioprocess design",Oils and fats,,,Europe,Estonia,,Tallinn,https://aio.bio/,2022,"Nemailla Bonturi, Petri-Jaan Lahtvee"
Air Protein,U.S.-based startup focusing on using a closed loop carbon cycle to create food grade protein,Biomass fermentation,"B2C,B2B",Ingredients and inputs,Specialized (focused on alternative proteins),Ingredient optimization,Ingredients,,Soy,United States and Canada,United States,California,San Leandro,https://www.airprotein.com/,2019,"Lisa Dyson, Dr. John Reed"
Airon Sabor e Saude,"Brazilian producer of vegan ghee from non-deforestation palm oil, in addition to sweeteners, seeds/grains/ and snacks. ",Plant-based,B2C,Dairy,Diversified,End product formulation and manufacturing,Other dairy,,Palm,Latin America,Brazil,,Ribeirao Preto,https://aironsaboresaude.com.br/,2015,
Aivia,"Produces vegan sausage, ham, salami in Romania. 
",Plant-based,B2C,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,"Beef/veal,Pork","Soy,Potato,Mushrooms,Pea",Europe,Romania,,Arad,https://aivia.ro/,2012,
Ajinomoto (Singapore),Ingredients manufacturer. ,"Plant-based,Cultivated","B2C,B2B","Contract manufacturing/processing,Ingredients and inputs,Meat",Diversified,"Cell culture media,Cell line development",Ingredients,,,Asia Pacific,Japan,,Japan,https://www.ajinomoto.com.sg/,1902,"Dr. Kikunae Ikeda, Saburosuke Suzuki II"
Alberta Food Centre,,Plant-based,B2C,Contract manufacturing/processing,Diversified,,,,,United States and Canada,Canada,,,https://www.alberta.ca/food-processing-development-centre.aspx,1984,
alberts,"alberts makes plant-based meat from Lupine, including steak, burgers, sausages, fillets, schnitzel, and gyros. ",Plant-based,B2C,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other meat/seafood,"Pork,Beef/veal,Chicken,Mutton/lamb","Lupine,Wheat,Soy",Europe,Germany,,Ramsen,https://www.purvegan.de/,2012,Albert Hess
Alden's Organic Ice Cream,"US-based producer of ice cream, including a dairy-free line of options. ",Plant-based,B2C,Dairy,Diversified,End product formulation and manufacturing,Other dairy,,"Coconut,Tapioca,Rice,Oat,Pea",United States and Canada,United States,Oregon,Eugene,https://aldensicecream.com/dairy-free/,2004,
Aleph Farms,"Aleph Farms is a cellular agriculture pioneer. They design new technologies using cow cells to make quality animal-based products, while improving food security and animal welfare. Aleph Cuts is the first cultivated beef product worldwide to receive regulatory approval. ",Cultivated,B2C,Meat,Specialized (focused on alternative proteins),"End product formulation and manufacturing,Scaffolding and structure",Whole muscle meat/seafood,Beef/veal,,Africa/Middle East,Israel,,Rehovot,https://www.aleph-farms.com/,2017,Didier Toubia and Prof. Shulamit Levenberg
Alfa Chilena S.A.,Supplies a variety of ingredients based on market trends and customer needs ,Plant-based,B2B,Ingredients and inputs,Diversified,Ingredient optimization,,,,Latin America,Chile,,Santiago,https://alfagroup.cl/en/,1980,
alfred’s,Israel-based company that produces technology for whole-cut food texturization,Plant-based,B2B,Bioprocessing infrastructure and equipment,Specialized (focused on alternative proteins),Bioprocess design,,,,Africa/Middle East,Israel,,Modiin,https://www.alfreds.tech,2021,Ronny Reinberg
Algama ,"Platform for microalgae-based plant-based foods and ingredients (including egg, seafood, meat, and dairy replacements)",Biomass fermentation,"B2C,B2B","Food processing infrastructure and equipment,Contract manufacturing/processing,Seafood,Ingredients and inputs",Specialized (focused on alternative proteins),"End product formulation and manufacturing,Bioprocess design,Ingredient optimization","Ground meat/seafood,Eggs,Other,Ingredients",Tuna,"Algae,Microalgae",Europe,France,,Paris,http://algamafoods.com/,2013,Alvyn Severien and Gaëtan Gohin
Algenuity,UK-based company that provides microalgae-based solutions for use in the plant-based food sector. ,"Plant-based,Biomass fermentation",B2B,Ingredients and inputs,Specialized (focused on alternative proteins),"Ingredient optimization,Bioprocess design",Ingredients,,"Algae,Microalgae",Europe,United Kingdom,,Bedfordshire,https://www.algenuity.com/,2009,Andrew Spicer and Timothy Alavosus
Alghética,Uses microalgae as a platform to produce food and pharma ingredients via mobile photobioreactors that are designed to capture atmospheric CO2. The process is continuously optimized through AI and machine learning technology.,Biomass fermentation,B2B,Ingredients and inputs,Diversified,Ingredient optimization,,,"Algae,Microalgae,CO2",Europe,Italy,,Verona,https://www.alghetica.com/,2021,Anthony Rosa
Algisys,U.S.-based company producing producing algal oils and high protein additives using exclusive technology for cost-effective harvesting ,Plant-based,B2B,Ingredients and inputs,Diversified,Ingredient optimization,Oils and fats,,"Algae,Microalgae,Omega-3 ,EPA/DHA",United States and Canada,United States,Ohio,Cleveland,https://www.algisys.com,2009,Dr. Charles Roe
Algrow Biosciences,Singapore-based company creating alternative dairy products using microalgea fermentation technology.,Fermentation-derived,B2B,Dairy,Specialized (focused on alternative proteins),Ingredient optimization,"Milk,Other dairy,Ingredients",Other,Algae,Asia Pacific,Singapore,,Singapore,https://algrowbiosciences.co/,2022,Sudhir Kumar Pasupuleti
Alimentos Sanygran,"Spanish company offering plant-based products and ingredients, as well as processing services.",Plant-based,"B2C,B2B","Meat,Ingredients and inputs,Contract manufacturing/processing",Specialized (focused on alternative proteins),"Ingredient optimization,End product formulation and manufacturing","Ground meat/seafood,Other meat/seafood,Ingredients","Beef/veal,Chicken,Pork,Duck,Mutton/lamb","Pea,Soy,Fava bean",Europe,Spain,,Tudela,https://sanygran.com/es/,2010,Julio Marcó and Eugenio Alonso
"Alishan
  Organic Center",Japanese organic and vegetarian grocery store in Germany that offers some private label plant-based meat products.,Plant-based,B2C,Meat,Diversified,End product formulation and manufacturing,Ground meat/seafood,,Soy,Asia Pacific,Japan,,Hidaka,https://alishan-organics.com/,1988,
All G Foods,"After recently splitting from its plant-based arm 'Love Buds', All G is now focusing on the production of precision-fermented lactoferrin",Precision fermentation,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Other dairy,Ingredients",,,Australia/New Zealand,Australia,,,https://www.allgfoods.com/,2020,
All Organic Treasures,"German plant-based ingredient company, produces various plant-based proteins, oils, and fats.",Plant-based,B2B,Ingredients and inputs,Diversified,Ingredient optimization,"Ingredients,Oils and fats",,"Sunflower,Soy,Almond,Wheat,Rice,Pea,Oat,Coconut,Cashew,Hemp,Fava bean,Hazelnut,Macadamia,Linseed,Peanut,Pistachio,Pumpkin,Rapeseed,Walnut",Europe,Germany,,Wiggensbach,https://www.all-organic-treasures.com/food.html,2003,Hans-Martin Breisinger
All Vegetarian Inc. ,"US-based producer of plant-based vegan egg, meat, and seafood products that bear striking resemblance to their analogues. ",Plant-based,B2C,"Meat,Seafood",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Whole muscle meat/seafood,Other meat/seafood","Turkey,Pork,Chicken,Other shellfish,Tuna","Soy,Wheat,Seaweed,Pea,Sunflower",United States and Canada,United States,California,Los Angeles,https://veganforall.com/,1994,
All Y'alls Foods,U.S.-based company producing plant-based proteins included jerky and toppers. ,Plant-based,B2C,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other meat/seafood,,Soy,United States and Canada,United States,Texas,Cross Roads,https://allyallsfoods.com/,2017,Brett Christoffel
Allbiotech,"Company that builds more accessible, efficient bioreactors for the alternative proteins value chain.",Precision fermentation,B2B,Bioprocessing infrastructure and equipment,Specialized (focused on alternative proteins),Bioprocess design,,,,Europe,Spain,,Pamplona,https://allbiotech.eu/,2024,Pablo Goñi
Allium Bio,Singapore startup co-culturing microalgae and mycelium to create functional ingredients for use in a range of plant-based foods. ,Biomass fermentation,B2B,Ingredients and inputs,Specialized (focused on alternative proteins),Ingredient optimization,,,"Mycelium,Algae,Microalgae",Asia Pacific,Singapore,,Singapore,https://www.alliumbio.com/,2022,"Jon Ho, Albertus Sarwono"
Allozymes,"Biotech company that applies technology to develop enzymes, build, and test millions of enzymes per day using enzyme engineering platform and ultimately accelerate innovative product introduction for companies sustainably. ",Precision fermentation,B2B,Ingredients and inputs,Diversified,Bioprocess design,Ingredients,,,Asia Pacific,Singapore,,,https://allozymes.com/,2020,Peyman Salehian and Akbar Vahidi
Almance Foods ,"US-based whipped dairy product maker, has a plant-based lined Whipt ",Plant-based,B2C,Dairy,Diversified,End product formulation and manufacturing,Other dairy,,"Oat,Almond,Coconut",United States and Canada,United States,North Carolina,Burlington,https://www.alamancefoods.com/brands/whipt,1959,R.W. Scott
Alpha Foods,"Plant-based burritos, chicken, and beef",Plant-based,B2C,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,"Chicken,Beef/veal",Soy,United States and Canada,United States,California,Glendale,https://www.eatalphafoods.com/,2015,"Loren Wallis, Cole Orobetz"
Alphorn Venture Partners,,Plant-based,,Contract manufacturing/processing,Diversified,,,,,Europe,Switzerland,,,,,
Alpine Bio,U.S.-based company developing affordable animal-free proteins.,Plant molecular farming,"B2C,B2B","Ingredients and inputs,Dairy",Specialized (focused on alternative proteins),"Crop development,Ingredient optimization,End product formulation and manufacturing","Cheese,Other dairy",,,United States and Canada,United States,California,South San Francisco,https://alpbio.com/,2016,
Alpro,"Produces soy, almond, hazelnut, coconut, oat and rice beverages, including the first non-soy, plant- based milk alternatives to be commercialized on a large scale in Europe. Products also include plant-based alternatives to yogurt, cream, and margarine. Also manages Provamel brand.",Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Milk,,"Soy,Almond,Rice,Oat","Europe,Africa/Middle East,Asia Pacific,Australia/New Zealand",Belgium,,Ghent,www.alpro.com/uk,1980,
AlProtein,"AlProtein produces organic protein ingredients from microalgae and floating plants in deserts, leveraging the power of AI in the process.",Precision fermentation,"B2C,B2B",Ingredients and inputs,Specialized (focused on alternative proteins),"Bioprocess design,Ingredient optimization,End product formulation and manufacturing","Oils and fats,Cheese",,"Microalgae,Duckweed,RuBisCO Protein ","Africa/Middle East,United States and Canada,Europe",Egypt,,Giza,https://www.alprotein.tech/,2023,Omar Zaghloul and Mohamed AlMoatasm
Alt Atlas,"Developing an innovative AI toolkit to assess cell health, reducing commercial R&D iterations to scale up cultivated meat production and ensure QA/QC in large-scale manufacturing.",Cultivated,B2B,Bioprocessing infrastructure and equipment,Specialized (focused on alternative proteins),"Bioprocess design,Cell culture media,Cell line development,Ingredient optimization",,,,Europe,United Kingdom,,London,https://alt-atlas.com/,2021,Sofia Giampaoli
ALT Co.,"Food Tech startup focused on launching sustainable food alternatives, primarily focused on plant-based dairy alternatives. ",Plant-based,"B2C,B2B",Dairy,Specialized (focused on alternative proteins),"End product formulation and manufacturing,Ingredient optimization",Milk,,"Oat,Almond",Asia Pacific,India ,,Bengaluru ,https://alt.company/,2021,"Rithwik Ramesh, Basan M Patil "
Alt Milk,"ALT MILK offers a variety of unsweetened & flavoured ( without any added sugar ) nut milks for vegans and people with lactose intolerance in Delhi NCR. We bring you the most healthiest, freshest, preservative-free and lactose-free plant-based milk with 4x more protein and energy in each serving. embrace a nutritious diet suitable for all food lovers – from those opting a wholesome plant-based diet to adopting a healthier lifestyle.",Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Milk,,"Almond,Cashew,Walnut,Pistachio",Asia Pacific,India ,,New Delhi,https://altmilk.in/,,Madhu Bafna 
ALTCo,condensed oat milk ,Plant-based,,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,,,Oat,Latin America,Brazil,,,https://www.altco.com.br/,2021,
Alternative Proteins Innovation Center,,Plant-based,,Contract manufacturing/processing,Specialized (focused on alternative proteins),,,,,,India ,,Bangalore,,,
Alternative Stores,"U.K.-based company that hosts a variety of exclusively vegan products of many companies, including an in-house brand of plant-based burger mix.",Plant-based,B2C,Meat,Diversified,End product formulation and manufacturing,Ground meat/seafood,Beef/veal,Soy,Europe,United Kingdom,,Newcastle,https://www.alternativestores.com/,2016,Dan John and Zahra Strettle 
ALTN,"ALTN (pronounced A-L-T-N) redefines The Alternative, offering a wide range of plant-based snacks and ready meals for anyone who craves a delicious alternative to the ordinary.",Plant-based,B2C,"Meat,Seafood",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Whole muscle meat/seafood,Ground meat/seafood","Chicken,Beef/veal,Other fish",,Asia Pacific,Singapore,,,https://tyjfood.com/Brands/Plant-Based-Products,2020,
Alver,Maker of microalgae protein and a line of algae based protein foods.,Plant-based,B2B,Ingredients and inputs,Diversified,End product formulation and manufacturing,Other,,"Algae,Microalgae,Chlorella ",Europe,Switzerland,,Saint Aubin,https://www.alver.ch/,2016,Mine Uran
Amandín,Spain-based company producing a variety of plant-based milks and creamers.,Plant-based,B2C,Dairy,Diversified,End product formulation and manufacturing,Milk,,"Oat,Rice,Almond",Europe,Spain,,Tarragona,https://amandin.com/en/,1995,
